Cc1ccc(cc1)S(=O)(=O)[O],[NH3]c1ccc(C)c(C)c1,salt,1,ABACOX
O=C([O])c1ccccc1CCc1ccccc1,Fc1ccc(cc1)C(N1CC[NH2]CC1)c1ccc(F)cc1,salt,1,ABADAK
O=N(=O)[O],[NH3]c1ccc(cc1)S(N)(=O)=O,salt,1,ABADOY
CC1(C)C(NC1=O)S(=O)(=O)c1ccccc1,CC1C(NC1=O)S(=O)(=O)c1ccccc1,cocrystal,2,ABADUD
CN(C1CCCCC1)P(=O)([N]S(=O)(=O)c1ccc(C)cc1)N(C)C1CCCCC1,C[NH2]C1CCCCC1,salt,1,ABAFIU
O=N(=O)[O],CC([N]1=CNC=N1)=C(OCCCCOc1ccc(Cl)cc1)c1ccc(F)cc1F,salt,1,ABAGER
[NH2]1CC[NH2]CC1,O=S(=O)([O])c1cccc2c1cccc2S(=O)(=O)[O],salt,1,ABAJAQ
OC(=O)c1ccccc1C(=O)[O],CC1=[NH]c2ccccc2N1,salt,1,ABAKOF
Fc1ccc(F)c(c1)C1[NH2]CCC1,OC(CC(O)=O)C(=O)[O],solvate,3,ABAMAV
OC(=O)C1CCCCC1C(=O)[O],Nc1cc[nH]cc1,salt,1,ABAQEB
COc1cc(OC)c(cc1Br)C1CCC2(C)C(=O)C3CC1C2(C3)OC(C)=O,c1ccccc1,cocrystal,2,ABDECO10
O=C1Nc2ccccc2C(=O)Nc2ccccc12,c1ccncc1,cocrystal,2,ABEBUF
[NH3]C(C(C)C)C(O)=O,O=N(=O)c1cc(c([O])c(c1)N(=O)=O)N(=O)=O,salt,1,ABEHOF
CC[NH](CC)CCSCC(=O)OC1CC(C)(C=C)C(O)C(C)C23CCC(C)C1(C)C2C(=O)CC3,OC(=O)C=CC(=O)[O],solvate,3,ABEJUN
Oc1cccc(O)c1,c1cc(ccn1)C=Cc1ccncc1,cocrystal,2,ABEKUN
Oc1cccc(O)c1,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,cocrystal,2,ABELAU
COc1cc(O)cc(O)c1,c1cc(ccn1)C=Cc1ccncc1,cocrystal,2,ABELEY
Oc1cccc(O)c1,c1ccc(C=Cc2ccccn2)nc1,cocrystal,2,ABELIC
NC1=[NH]C=NC2=C1N=CN2C1OC(CO)C(O)C1O,Oc1c(cc(cc1N(=O)=O)N(=O)=O)C(=O)[O],salt,1,ABELUP
[NH3]CCN(CC[NH3])CC[NH3],O=P1([O])OP(=O)([O])OP(=O)([O])OP(=O)([O])OP(=O)([O])OP(=O)([O])O1,solvate,3,ABEQIH
COc1ccc(cc1)[n]1ccc(cc1)C1=NC2=C(S1)N=C(S2)c1cc[n](cc1)c1ccc(OC)cc1,FC(F)(F)S(=O)(=O)[O],salt,1,ABEQIL
OP(=O)([O])OP(O)(=O)[O],[NH3]CCc1ccccc1,salt,1,ABEQON
Oc1ccc(cc1)S(=O)(=O)[O],[NH2](C1CCCCC1)C1CCCCC1,solvate,3,ABERAB
CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,Oc1cccc(C(=O)[O])c1O,salt,1,ABIROW
CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,Oc1ccc(cc1)C(=O)[O],solvate,3,ABIRUC
Oc1ccccc1C(=O)[O],CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,solvate,3,ABISAJ
CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,Oc1ccc(O)c(c1)C(=O)[O],solvate,3,ABISEN
CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,Oc1cccc(O)c1C(=O)[O],salt,1,ABISIR
CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,Oc1ccc(C=CC(=O)[O])cc1O,solvate,3,ABISOX
CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,Oc1ccc(c(O)c1)C(=O)[O],solvate,3,ABISUD
CC1=NC=C(N1CCO)N(=O)=O,CCOC(=O)c1cc(O)c(O)c(O)c1,cocrystal,2,ABITAK
Oc1ccccc1C(=O)[O],COc1ccc2nccc(C(O)C3CC4CC[NH]3CC4C=C)c2c1,salt,1,ABITEO
Oc1ccc(O)cc1,NC(=O)N1c2ccccc2C=Cc2ccccc12,cocrystal,2,ABOQUF
NC(=O)CN1CCCC1=O,Oc1ccc(O)cc1,cocrystal,2,ABORAM
O=N(=O)c1cc(c([O])c(c1)N(=O)=O)N(=O)=O,[NH3]c1ccc(O)cc1,solvate,3,ABORAO
Fc1c(F)c(I)c(F)c(F)c1I,COC(=O)C1=C(C)NC(=O)NC1c1ccc(O)cc1,cocrystal,2,ABOTUK
COC(=O)C1=C(C)NC(=O)NC1c1ccc(cc1)N(=O)=O,Fc1c(F)c(I)c(F)c(F)c1I,cocrystal,2,ABOVAS
Fc1c(F)c(I)c(F)c(F)c1I,COC(=O)C1=C(C)NC(=S)NC1c1ccccc1Cl,cocrystal,2,ABOVEW
OC(=O)c1cccc(c1)N(=O)=O,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(O)cc1,cocrystal,2,ABOVIA
OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O,c1ccc(nc1)C#Cc1ccccn1,cocrystal,2,ABUHIO
ClC1=C([O])C(=O)C(=C([O])C1=O)Cl,[nH]1cccc(c1)C#Cc1c[nH]ccc1,solvate,3,ABUHOU
[nH]1ccc(cc1)C#Cc1ccncc1,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)[O],salt,1,ABUHUA
C(N1C=[N](Cc2ccccc2)c2ccccc12)c1ccc[n](Cc2ccccc2)c1,F[P](F)(F)(F)(F)F,salt,1,ABUHUD
[NH3]c1ccccc1,Oc1c(cc(cc1N(=O)=O)N(=O)=O)C(=O)[O],salt,1,ABUJUE
Cc1c[nH]cc2N=NNc12,O=N(=O)[O],solvate,3,ABUJUF
[NH3]c1ccccc1OC,OC(=O)c1cc(cc(c1[O])N(=O)=O)N(=O)=O,salt,1,ABUKEP
[NH3]c1cccc(OC)c1,OC(=O)c1cc(cc(c1[O])N(=O)=O)N(=O)=O,salt,1,ABUKIT
[NH3]c1ccc(F)cc1,Oc1c(cc(cc1N(=O)=O)N(=O)=O)C(=O)[O],salt,1,ABUKOZ
[NH3]c1ccc(Cl)cc1,Oc1c(cc(cc1N(=O)=O)N(=O)=O)C(=O)[O],salt,1,ABUKUF
