reactant_A,reactant_B,label_str,label_int,identifier
Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,O=S(=O)([O])c1ccc2ccccc2c1,hydrate,3,WIYWAG
Nc1cc(nc(N)[n]1[O])N1CCCCC1,CC(C)(C)c1ccc(cc1)C(O)=O,hydrate,3,WIYWIO
Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,Clc1cc(Cl)cc(c1)C(=O)[O],hydrate,3,WIYWOU
Nc1cc(nc(N)[n]1[O])N1CCCCC1,Cc1ccc(C(O)=O)c(O)c1,hydrate,3,WIYWUA
Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,O=S(=O)([O])c1cccc2c1cccc2S(=O)(=O)[O],hydrate,3,WIYXAH
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1cc(O)cc(c1)C(O)=O,hydrate,3,WIYXIP
OC(=O)C1=CC=CS1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,BOFVUR
Nc1cc(nc(N)[n]1O)N1CCCCC1,Oc1ccc(CC(=O)[O])cc1,salt,1,BOFWAY
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1ccc(Cl)c(Cl)c1,cocrystal,2,BOFWEC
Nc1cc(nc(N)[n]1O)N1CCCCC1,Clc1ccc(c(Cl)c1)C(=O)[O],hydrate,3,BOFWIG
Nc1cc(nc(N)[n]1O)N1CCCCC1,OC(=O)c1cccc(n1)C(=O)[O],hydrate,3,BOFXAZ
CCCCCCCCCCCCCCCC(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
NC(N)=NCCC[C@H](N)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
NCC(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
N[C@@H](CCC(=O)O)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
N[C@@H](CS)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
N[C@@H](CC(=O)O)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
N[C@@H](CC1=CC=CC=C1)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
CSCC[C@H](N)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
