reactant_A,reactant_B,label_str,label_int,identifier
OC(=O)C1=CSC(=N1)c1cc[nH]cc1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O],hydrate,3,ROGLIJ
O=C([O])CC(=O)[O],Cc1[nH]c(N)nc(N)n1,hydrate,3,ROGPOT
O=C([O])CCC(=O)[O],Cc1[nH]c(N)nc(N)n1,salt,1,ROGPUZ
Cc1[nH]c(N)nc(N)n1,O=C([O])C#CC(=O)[O],hydrate,3,ROGQAG
Cc1[nH]c(N)nc(N)n1,O=C([O])CCCC(=O)[O],salt,1,ROGQEK
Cc1[nH]c(N)nc(N)n1,O=C([O])CSCC(=O)[O],salt,1,ROGQIO
Cc1[nH]c(N)nc(N)n1,O=C([O])COCC(=O)[O],hydrate,3,ROGQOU
OC(=O)CCCCC(O)=O,Cc1nc(N)nc(N)n1,cocrystal,2,ROGQUA
[nH]1ccc(cc1)C=NN=Cc1cc[nH]cc1,O=[Cl](=O)(=O)[O],salt,1,ROHHIF
OC(C(=O)[O])c1ccccc1,COc1ccc2nccc(C(O)C3CC4CC[NH]3CC4C=C)c2c1,salt,1,ROHJAZ
OC(=O)C=CC(=O)[O],[NH3]CC[NH3],salt,1,ROHKUU
COc1ccc2NC=C(CCNC(C)=O)c2c1,C1CNCCN1,cocrystal,2,ROHWIX
ON(=O)=O,CC(C)c1cccc(C(C)C)c1[N]1=C(C#CC2=[N](c3c(cccc3C(C)C)C(C)C)C(C)(C)CC2(C)C)C(C)(C)CC1(C)C,salt,1,ROHYIY
CCOC(=O)C(C)=C(C)NC(C[NH](CC)CC)C(C)(C)C,FC(F)(F)S(=O)(=O)[O],salt,1,ROHZOF
OC(=O)CCCCC(O)=O,S1C=CC(=C1)C=Cc1ccncc1,cocrystal,2,ROJCEA
CC(=O)[O],C[NH](C)CCCN1C(=O)c2ccccc2C1=O,hydrate,3,ROJJEG
O=C1[N]S(=O)(=O)c2ccccc12,Nc1[nH]nc(c(N)n1)c1cccc(Cl)c1Cl,solvate,4,ROJKOS
O=C1[N]S(=O)(=O)c2ccccc12,Nc1[nH]nc(c(N)n1)c1cccc(Cl)c1Cl,solvate,4,ROJKUY
O=C(N1c2ccccc2c2ccccc12)c1ccccc1,N#Cc1cc(C#N)c(cc1C#N)C#N,cocrystal,2,ROJRAM
O=C1C=CC(=O)C=C1,Oc1c2ccccc2c2ccccc2c1c1c(O)c2ccccc2c2ccccc12,cocrystal,2,ROJROZ
Nc1cccc2ccc[nH]c12,OC(=O)c1ccc(cc1C(=O)[O])N(=O)=O,salt,1,ROJSAL
[nH]1ccccc1,OC(=O)c1ccc(cc1C(=O)[O])N(=O)=O,salt,1,ROJSEP
N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,CCN1C=CC(=C2C=CN(CC)C3=NSN=C23)C2=NSN=C12,cocrystal,2,ROJSIS
Nc1ccccn1,OC(=O)c1ccc(cc1C(O)=O)N(=O)=O,cocrystal,2,ROJSIT
CC(C)(C)NP1N(C(C)(C)C)P(=O)(N2OC(=O)C(=Cc3ccccc23)c2ccccc2)N1C(C)(C)C,Cc1ccccc1,cocrystal,2,ROJVAP
Cc1ccccc1,c1ccc(cc1)c1cc2cc3cc(c4ccccc4)c(nc3nc2nc1c1ccccc1)c1ccccc1,cocrystal,2,ROJVUH
c1ccc(cc1)c1cc2cc3cc(c4ccccc4)c(nc3nc2nc1c1ccccc1)c1ccccc1,Clc1ccccc1,cocrystal,2,ROJWAO
O=N(=O)[O],[NH3]C(C(C)C)C(O)=O,salt,1,ROKBOI
Cc1ccc[n](Cc2ccc(I)cc2)c1,N#CC(C#N)=C1C=CC(C=C1)=[C](C#N)C#N,salt,1,ROKCIE
N#CC(C#N)=C1C=CC(C=C1)=[C](C#N)C#N,Cc1c[n](Cc2ccc(I)cc2)cc(C)c1,salt,1,ROKCOK
N#CC(C#N)=C1C=CC(C=C1)=[C](C#N)C#N,Cc1c[n](Cc2ccc(Br)cc2)cc(C)c1,salt,1,ROKCUQ
F[P](F)(F)(F)(F)F,CC(C)C1CN(C=[N]1Cc1ccc2ccc3ccc4ccccc4c3c2c1)c1c(C)cc(C)cc1C,salt,1,ROKCUR
N#CC(C#N)=C1C=CC(C=C1)=[C](C#N)C#N,Cc1c[n](Cc2ccc(cc2)C#N)cc(C)c1,salt,1,ROKDAX
C[N]1(CC[N](C)(CC1)CC(=O)[O])CC(=O)[O],OC(C(O)C(O)=O)C(O)=O,cocrystal,2,ROKNAH
Cc1ccc(cc1)C(O)=O,Cc1cccn([O])c1,cocrystal,2,ROKQAJ
Cc1ccccn1[O],OC(=O)c1cccc(Cl)c1,cocrystal,2,ROKQEN
CC(CC(c1cc(c(O)cc1C)C(C)(C)C)c1cc(c(O)cc1C)C(C)(C)C)c1cc(c(O)cc1C)C(C)(C)C,C1N2CN3CN1CN(C2)C3,cocrystal,2,ROKQIR
CC(C)c1cccc(C(C)C)c1NC(Nc1c(cccc1C(C)C)C(C)C)=NC(=O)c1ccccc1,CC(C)c1cccc(C(C)C)c1NC(=O)NC(=O)c1ccccc1,cocrystal,2,ROKQUG
Cc1ccc(cc1)S(=O)(=O)[O],C[n]1ccc(cc1)C1C(C(C1c1ccccc1O)c1cc[n](C)cc1)c1ccccc1O,hydrate,3,ROKRIS
[nH]1ccccc1,O=N(=O)[C](N(=O)=O)N(=O)=O,salt,1,ROKTES
CC1=[NH]c2ccccc2N1Cc1ccc(CN2C(=[NH]c3ccccc23)C)cc1,OC(=O)c1ccc(C(O)=O)c(c1)C(=O)[O],salt,1,ROKVUK
C[N](C)(C)CC(O)CC(N)=O,CC1(C)C(CCC1(C)C(O)=O)C(=O)[O],hydrate,3,ROKWAP
I[I]I,CC(I)=C1CSc2cccc3ccc[n]1c23,salt,1,ROKWEV
OC(=O)CN1C(=O)c2ccc(cc2C1=O)C(=O)c1ccc2C(=O)N(CC(O)=O)C(=O)c2c1,c1ccncc1,cocrystal,2,ROKWIZ
[NH3]C(C)c1ccccc1,NC(=O)CC(CC(=O)[O])c1ccc(Cl)cc1,salt,1,ROLFAZ
O=N(=O)[O],CNc1[nH]cnc2NC=[NH]c12,salt,1,ROLFON
NC(=O)c1ccncc1,CCC(C(O)=O)c1ccccc1,cocrystal,2,ROLFUU
CN(C)C(N)=NC(N)=[NH2],CCCCNC(=O)[N]S(=O)(=O)c1ccc(C)cc1,salt,1,ROLFUW
[NH2]1CC[NH2]CC1,Clc1ccc(OCC(=O)[O])cc1,salt,1,ROLJEK
CC[NH2]CC,CN1C(NP(=O)([O])C1(C)C)=NC#N,salt,1,ROLKUY
[I](c1ccccc1)c1ccc(Cc2ccc([I]c3ccccc3)cc2)cc1,FC(F)(F)S(=O)(=O)[O],salt,1,ROLLIN
CN1c2ccc(Br)cc2N(C)C21N(C)c1cccc3cccc(N2C)c13,c1ccccc1,cocrystal,2,ROLNOY
CCCCCCC[n]1ccc(cc1)c1cc[n](CCCCCCC)cc1,O=[Cl](=O)(=O)[O],salt,1,ROLNUB
OS(=O)(=O)[O],CN(C)C(N)=[N](C)C,salt,1,ROLPEP
F[I]F,C[N]1(C)CC(C)(C)CC(C)(C)C1,salt,1,ROLSAM
C[N]1(C)CC(C)(C)CC(C)(C)C1,F[Cl](F)(F)F,salt,1,ROLSEQ
NC1=[NH]C(=O)NC=C1F,Oc1cccnc1C(=O)[O],salt,1,ROLTUJ
Brc1ccc(cc1)S(=O)(=O)[O],CN(C)c1ccc(C=Cc2cc[n](C)cc2)cc1,salt,1,ROMBEB
OC(=O)c1ccc(I)cc1,C(Sc1ccncc1)c1ccncc1,cocrystal,2,ROMFAC
C[N](C)=Cc1ccc(O)cc1O,ClP(Cl)(=O)[O],salt,1,ROMLOV
N1c2ccccc2Sc2ccccc12,N#Cc1cc(C#N)c(cc1C#N)C#N,cocrystal,2,ROMQOC
Cc1[nH]c(N)nc(N)n1,O=C([O])C=CC(=O)[O],salt,1,ROMZOJ
OC(=O)c1cccc(n1)C(O)=O,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,solvate,4,ROMZUR
Oc1ccc(cc1)N=Nc1ccc(cc1)C(O)=O,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,hydrate,3,RONBAA
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,OC(=O)c1ccccc1S,cocrystal,2,RONBEE
Nc1[nH]cccc1,OC(=O)C=CC(=O)[O],salt,1,RONBUS
CC(C(O)=O)c1ccccc1,NC(=O)c1ccncc1,cocrystal,2,RONDAA
CCC(C(O)=O)c1ccccc1,NC(=O)c1ccncc1,cocrystal,2,RONDEE
CCC(C(O)=O)c1ccccc1,NC(=O)c1ccncc1,cocrystal,2,RONDII
CC(C)CC1C(C=C(C=[N]1Cc1ccccc1)C(C)C)C(C)C,FC(F)(F)S(=O)(=O)[O],salt,1,RONHUX
CN1=NC(=C(C2=N[n]3ccccc3N=C12)C1=C(N=N(C)C2=Nc3ccccn3N=C12)c1ccccc1)c1ccccc1,N#CC(C#N)=C(C#N)[C](C#N)C#N,salt,1,RONQIU
c1cc(ccn1)C=Cc1ccncc1,Oc1cc(O)cc(O)c1,cocrystal,2,ROPHIP
c1cc(ccn1)C=Cc1ccncc1,Oc1cc(O)cc(O)c1,solvate,4,ROPHOV
c1cc(ccn1)C=Cc1ccncc1,Oc1cc(O)cc(O)c1,hydrate,3,ROPHUB
Oc1cc(O)cc(O)c1,c1ccc2nc3ccccc3nc2c1,solvate,4,ROPJIR
CC1OC1P(O)(=O)[O],[NH3]C(CO)(CO)CO,salt,1,ROPMUH
[H](O=CN(C)C)O=CN(C)C,Clc1c(Cl)c(Cl)c2O[P]34(Oc5ccccc5O3)(Oc2c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O4,salt,1,ROPRUJ
[NH3]c1cccc(F)c1,OC(C(O)C(=O)[O])C(O)=O,hydrate,3,ROPSUM
[NH3]c1ccccc1F,OC(C(O)C(=O)[O])C(O)=O,hydrate,3,ROPTAT
[NH3]c1ccc(Br)cc1,OC(C(O)C(=O)[O])C(O)=O,solvate,4,ROPTEX
[NH3]c1ccc(Cl)cc1,OC(C(O)C(=O)[O])C(O)=O,solvate,4,ROPTIB
O=N(=O)[O],[nH]1cccc2c1ccc1cccnc21,salt,1,ROQFOV
