API,coformer,label_str,label_int,identifier
38304-91-5,57-10-3,failed,0,
38304-91-5,74-79-3,failed,0,
38304-91-5,56-40-6,failed,0,
38304-91-5,56-86-0,failed,0,
38304-91-5,60-18-4,failed,0,
38304-91-5,52-90-4,failed,0,
38304-91-5,56-84-8,failed,0,
38304-91-5,63-91-2,failed,0,
38304-91-5,63-68-3,failed,0,
